controller,env_id,episode_id,episode_step,global_step,t,x,y,z,vx,vy,vz,speed,goal_x,goal_y,goal_z,fx_body,fy_body,fz_body,body_force_norm,tx_body,ty_body,tz_body,body_torque_norm
rl,0,0,0,0,0.0,5.0,-5.0,1.0,0.0,0.0,0.0,0.0,4.926242828369141,-5.887693405151367,0.7395809888839722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,1,0,0,0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,4.407980918884277,4.237954616546631,0.7351911067962646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,2,0,0,0,0.0,-5.0,-5.0,1.0,0.0,0.0,0.0,0.0,-5.350030899047852,-5.345860004425049,0.902693510055542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,3,0,0,0,0.0,-5.0,5.0,1.0,0.0,0.0,0.0,0.0,-5.372435092926025,3.8223938941955566,0.5041739344596863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,0,0,0,0,0.0,5.0,-5.0,1.0,0.0,0.0,0.0,0.0,4.926242828369141,-5.887693405151367,0.7395809888839722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,1,0,0,0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,4.407980918884277,4.237954616546631,0.7351911067962646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,2,0,0,0,0.0,-5.0,-5.0,1.0,0.0,0.0,0.0,0.0,-5.350030899047852,-5.345860004425049,0.902693510055542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,3,0,0,0,0.0,-5.0,5.0,1.0,0.0,0.0,0.0,0.0,-5.372435092926025,3.8223938941955566,0.5041739344596863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,0,0,1,1,0.02,5.000174522399902,-4.99979829788208,0.9997280836105347,0.008716369979083538,0.010091254487633705,-0.013604101724922657,0.01904941163957119,4.926242828369141,-5.887693405151367,0.7395809888839722,0.47034555673599243,0.5444047451019287,15.144413948059082,15.161493301391602,-0.0004991760361008346,-0.0011787316761910915,2.5869527235045098e-05,0.0012803336139768362
rl,1,0,1,1,0.02,5.000304222106934,4.999443531036377,0.9998792409896851,0.015237536281347275,-0.027802377939224243,-0.006041249725967646,0.032274626195430756,4.407980918884277,4.237954616546631,0.7351911067962646,0.8222928643226624,-1.4999992847442627,15.552504539489746,15.646295547485352,-7.565321539004799e-06,-0.001118354732170701,-4.9461996241007e-05,0.0011194735998287797
rl,2,0,1,1,0.02,-5.000063896179199,-5.000555992126465,1.0000828504562378,-0.0031933546997606754,-0.02780243568122387,0.004144458100199699,0.02829044871032238,-5.350030899047852,-5.345860004425049,0.902693510055542,-0.17222139239311218,-1.4999940395355225,16.101985931396484,16.172618865966797,-2.1291487428243272e-05,-0.0014331414131447673,-5.97411890339572e-05,0.00143454410135746
rl,3,0,1,1,0.02,-5.000551223754883,4.999722003936768,0.9990127086639404,-0.027596168220043182,-0.013888799585402012,-0.04936329647898674,0.05823385715484619,-5.372435092926025,3.8223938941955566,0.5041739344596863,-1.4886560440063477,-0.749335765838623,13.2149658203125,13.3196439743042,-0.00013620818208437413,-0.0015387836610898376,-4.435015580384061e-05,0.001545436680316925
lqr,0,0,1,1,0.02,4.992863655090332,-5.085881233215332,0.9745054244995117,-0.29028481245040894,-3.4937222003936768,-1.0371778011322021,3.6559674739837646,4.926242828369141,-5.887693405151367,0.7395809888839722,-6.028879642486572,-71.9855728149414,-5.785802841186523,72.46892547607422,0.1116858720779419,-0.0008712532580830157,-0.018435390666127205,0.11320051550865173
lqr,1,0,1,1,0.02,4.94272518157959,4.926275253295898,0.9740821123123169,-2.3300132751464844,-2.999211311340332,-1.0544312000274658,3.941580295562744,4.407980918884277,4.237954616546631,0.7351911067962646,-48.0522575378418,-61.7670783996582,-6.190269470214844,78.50166320800781,0.09617552161216736,-0.0699068158864975,-0.018693912774324417,0.12035845220088959
lqr,2,0,1,1,0.02,-5.033863544464111,-5.033461093902588,0.9902856349945068,-1.3776237964630127,-1.361213207244873,-0.3952222466468811,1.9766004085540771,-5.350030899047852,-5.345860004425049,0.902693510055542,-28.416011810302734,-28.059154510498047,7.641136646270752,40.65922927856445,0.04299454391002655,-0.044887371361255646,-0.00892897043377161,0.06279437243938446
lqr,3,0,1,1,0.02,-5.036030292510986,4.88607120513916,0.9517333507537842,-1.4657858610153198,-4.634744167327881,-1.9636262655258179,5.242633819580078,-5.372435092926025,3.8223938941955566,0.5041739344596863,-30.27362823486328,-95.37191772460938,-25.142011642456055,103.1717758178711,0.1501178741455078,-0.030576935037970543,-0.02594028227031231,0.15538088977336884
rl,0,0,2,2,0.04,5.000969886779785,-5.000044345855713,0.9987895488739014,0.035393934696912766,-0.017455581575632095,-0.04012799635529518,0.05628218501806259,4.926242828369141,-5.887693405151367,0.7395809888839722,1.4366016387939453,-1.4850202798843384,14.44789981842041,14.594893455505371,-0.0011395870242267847,-0.003515924559906125,2.5056635422515683e-05,0.003696080530062318
rl,1,0,2,2,0.04,5.000304222106934,4.998907089233398,0.9994121789932251,-0.007650468498468399,-0.012921350076794624,-0.02034677192568779,0.02528798207640648,4.407980918884277,4.237954616546631,0.7351911067962646,-1.237658143043518,0.8028823137283325,15.106271743774414,15.17813777923584,-0.0005786758847534657,-0.004157222807407379,-0.00011101031850557774,0.004198772367089987
rl,2,0,2,2,0.04,-4.999776840209961,-5.001833438873291,0.9996397495269775,0.01598370634019375,-0.05000455677509308,-0.02424008399248123,0.057823143899440765,-5.350030899047852,-5.345860004425049,0.902693510055542,1.0311565399169922,-1.1978175640106201,14.347367286682129,14.434161186218262,-0.00010015590669354424,-0.0041907774284482,-0.00019169316510669887,0.004196354653686285
rl,3,0,2,2,0.04,-5.000988006591797,4.999444961547852,0.996544361114502,-0.008019475266337395,-0.006898265331983566,-0.09873118251562119,0.09929624944925308,-5.372435092926025,3.8223938941955566,0.5041739344596863,1.0529687404632568,0.37739428877830505,13.215229034423828,13.262482643127441,-0.0007252179784700274,-0.004326242487877607,-9.041911107487977e-05,0.004387537948787212
lqr,0,0,2,2,0.04,4.983871936798096,-5.194094657897949,0.9423784613609314,-0.2946343421936035,-3.545952320098877,-1.0527453422546387,3.710641384124756,4.926242828369141,-5.887693405151367,0.7395809888839722,1.2015419006347656,13.99920654296875,20.23480224609375,24.63470458984375,0.08702060580253601,-0.003666070755571127,-0.01758512109518051,0.08885528892278671
lqr,1,0,2,2,0.04,4.870555400848389,4.833378314971924,0.9414200186729431,-2.3648672103881836,-3.0440447330474854,-1.0703045129776,4.000544548034668,4.407980918884277,4.237954616546631,0.7351911067962646,9.366109848022461,12.001863479614258,20.327808380126953,25.396623611450195,0.07491781562566757,-0.055704157799482346,-0.017815949395298958,0.09504231065511703
