controller,env_id,episode_id,episode_step,global_step,t,x,y,z,vx,vy,vz,speed,goal_x,goal_y,goal_z,fx_body,fy_body,fz_body,body_force_norm,tx_body,ty_body,tz_body,body_torque_norm
rl,0,0,0,0,0.0,1.25,-1.25,1.0,0.0,0.0,0.0,0.0,2.9613189697265625,-1.7352508306503296,1.021186113357544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,1,0,0,0,0.0,1.25,1.25,1.0,0.0,0.0,0.0,0.0,1.854996681213379,0.523216724395752,0.787452757358551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,2,0,0,0,0.0,-1.25,-1.25,1.0,0.0,0.0,0.0,0.0,-2.646925449371338,-1.9928385019302368,1.034428596496582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,3,0,0,0,0.0,-1.25,1.25,1.0,0.0,0.0,0.0,0.0,-1.7422666549682617,1.6730701923370361,0.8128437399864197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,0,0,0,0,0.0,1.25,-1.25,1.0,0.0,0.0,0.0,0.0,2.9613189697265625,-1.7352508306503296,1.021186113357544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,1,0,0,0,0.0,1.25,1.25,1.0,0.0,0.0,0.0,0.0,1.854996681213379,0.523216724395752,0.787452757358551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,2,0,0,0,0.0,-1.25,-1.25,1.0,0.0,0.0,0.0,0.0,-2.646925449371338,-1.9928385019302368,1.034428596496582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,3,0,0,0,0.0,-1.25,1.25,1.0,0.0,0.0,0.0,0.0,-1.7422666549682617,1.6730701923370361,0.8128437399864197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,0,0,1,1,0.02,1.2503676414489746,-1.2505558729171753,0.9999001026153564,0.01837761141359806,-0.027802344411611557,-0.00499462615698576,0.03369945287704468,2.9613189697265625,-1.7352508306503296,1.021186113357544,0.9916874170303345,-1.4999990463256836,15.608983993530273,15.71221923828125,-8.867754331731703e-06,-0.0010776601266115904,-4.771047679241747e-05,0.001078752102330327
rl,1,0,1,1,0.02,1.2497024536132812,1.2494440078735352,0.9991520643234253,-0.014885226264595985,-0.02780289761722088,-0.0423942394554615,0.05283788964152336,1.854996681213379,0.523216724395752,0.787452757358551,-0.8029532432556152,-1.5000081062316895,13.591028213500977,13.69710922241211,3.9080412534531206e-05,-0.0013864190550521016,-6.625886453548446e-05,0.0013885514345020056
rl,2,0,1,1,0.02,-1.2505561113357544,-1.2495248317718506,0.99901282787323,-0.027811432257294655,0.0237550251185894,-0.04936254769563675,0.06143645569682121,-2.646925449371338,-1.9928385019302368,1.034428596496582,-1.5002937316894531,1.2815451622009277,13.21495532989502,13.36144733428955,-0.0006342337001115084,-0.0015428365441039205,3.397573527763598e-05,0.0016684577567502856
rl,3,0,1,1,0.02,-1.2500935792922974,1.2494440078735352,0.99901282787323,-0.004687355365604162,-0.02780289761722088,-0.04936477169394493,0.056849390268325806,-1.7422666549682617,1.6730701923370361,0.8128437399864197,-0.2527700662612915,-1.5000123977661133,13.21499252319336,13.302253723144531,4.8415513447253034e-05,-0.00120603630784899,-6.0570815548999235e-05,0.00120852654799819
lqr,0,0,1,1,0.02,1.4155617952346802,-1.2969452142715454,1.0017433166503906,6.735241413116455,-1.909804105758667,0.07103148847818375,7.001133918762207,2.9613189697265625,-1.7352508306503296,1.021186113357544,138.96131896972656,-39.40395736694336,16.180278778076172,145.3434600830078,0.059154246002435684,0.22546638548374176,-0.0005676321452483535,0.23309791088104248
lqr,1,0,1,1,0.02,1.3085309267044067,1.1796867847442627,0.9791350960731506,2.3810877799987793,-2.86041522026062,-0.8488021492958069,3.817331552505493,1.854996681213379,0.523216724395752,0.787452757358551,49.05060577392578,-58.97224044799805,-1.9554258584976196,76.73011779785156,0.09145089238882065,0.0876850038766861,-0.011483728885650635,0.12721556425094604
