controller,env_id,episode_id,episode_step,global_step,t,x,y,z,vx,vy,vz,speed,goal_x,goal_y,goal_z,fx_body,fy_body,fz_body,body_force_norm,tx_body,ty_body,tz_body,body_torque_norm
rl,0,0,0,0,0.0,1.25,-1.25,1.0,0.0,0.0,0.0,0.0,1.6331827640533447,-0.3018372058868408,1.4426300525665283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,1,0,0,0,0.0,1.25,1.25,1.0,0.0,0.0,0.0,0.0,-0.533423900604248,2.8304989337921143,1.4381706714630127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,2,0,0,0,0.0,-1.25,-1.25,1.0,0.0,0.0,0.0,0.0,-2.300881862640381,-2.9567675590515137,1.4052844047546387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,3,0,0,0,0.0,-1.25,1.25,1.0,0.0,0.0,0.0,0.0,-1.7075936794281006,2.3941245079040527,0.9357080459594727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,0,0,0,0,0.0,1.25,-1.25,1.0,0.0,0.0,0.0,0.0,1.6331827640533447,-0.3018372058868408,1.4426300525665283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,1,0,0,0,0.0,1.25,1.25,1.0,0.0,0.0,0.0,0.0,-0.533423900604248,2.8304989337921143,1.4381706714630127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,2,0,0,0,0.0,-1.25,-1.25,1.0,0.0,0.0,0.0,0.0,-2.300881862640381,-2.9567675590515137,1.4052844047546387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,3,0,0,0,0.0,-1.25,1.25,1.0,0.0,0.0,0.0,0.0,-1.7075936794281006,2.3941245079040527,0.9357080459594727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,0,0,1,1,0.02,1.2496196031570435,-1.2497339248657227,1.0001246929168701,-0.019037514925003052,0.013313265517354012,0.0062406365759670734,0.024054428562521935,1.6331827640533447,-0.3018372058868408,1.4426300525665283,-1.0269851684570312,0.7182309627532959,16.2149715423584,16.263328552246094,-0.0005683668423444033,-0.0016737872501835227,1.710503602225799e-05,0.001767737907357514
rl,1,0,1,1,0.02,1.2494436502456665,1.2503331899642944,1.0000063180923462,-0.027812546119093895,0.016663404181599617,0.00032009585993364453,0.032423898577690125,-0.533423900604248,2.8304989337921143,1.4381706714630127,-1.5005412101745605,0.8990200757980347,15.895475387573242,15.991435050964355,-0.0006051816162653267,-0.0017736612353473902,1.9193143089069054e-05,0.0018741631647571921
rl,2,0,1,1,0.02,-1.2505561113357544,-1.250396966934204,1.0000091791152954,-0.027812479063868523,-0.019841548055410385,0.0004715303366538137,0.03416787087917328,-2.300881862640381,-2.9567675590515137,1.4052844047546387,-1.5003807544708252,-1.0704890489578247,15.903702735900879,16.010149002075195,-0.0001224378647748381,-0.0017734784632921219,-5.6880784541135654e-05,0.0017786097014322877
rl,3,0,1,1,0.02,-1.250183343887329,1.2503505945205688,1.0000149011611938,-0.0091664157807827,0.017527662217617035,0.000739227922167629,0.019793648272752762,-1.7075936794281006,2.3941245079040527,0.9357080459594727,-0.4944690465927124,0.9456140995025635,15.918190956115723,15.953917503356934,-0.0006167107494547963,-0.001505090156570077,3.139308682875708e-05,0.0016268417239189148
lqr,0,0,1,1,0.02,1.2642732858657837,-1.2146799564361572,1.0161336660385132,0.6397523880004883,1.5830916166305542,0.7231568098068237,1.854297161102295,1.6331827640533447,-0.3018372058868408,1.4426300525665283,23.166513442993164,57.394405364990234,41.97427749633789,74.78398895263672,-0.04732752963900566,0.00992067065089941,0.00811616238206625,0.049032505601644516
lqr,1,0,1,1,0.02,1.1835662126541138,1.3088746070861816,1.0159704685211182,-2.9776527881622314,2.638840675354004,0.7158099412918091,4.042558670043945,-0.533423900604248,2.8304989337921143,1.4381706714630127,-107.98603820800781,95.62970733642578,41.196922302246094,150.0106964111328,-0.07723784446716309,-0.10090024769306183,0.008515848778188229,0.12735408544540405
lqr,2,0,1,1,0.02,-1.2891467809677124,-1.3135781288146973,1.014743447303772,-1.7546085119247437,-2.8496739864349365,0.6608381271362305,3.4111580848693848,-2.300881862640381,-2.9567675590515137,1.4052844047546387,-63.66496658325195,-103.25728607177734,39.41849136352539,127.55043029785156,0.07772453874349594,-0.06262101978063583,-0.01535139512270689,0.10098594427108765
lqr,3,0,1,1,0.02,-1.267045259475708,1.292619228363037,0.9972536563873291,-0.7640033960342407,1.9102628231048584,-0.12310658395290375,2.0610580444335938,-1.7075936794281006,2.3941245079040527,0.9357080459594727,-27.692447662353516,69.18499755859375,11.271732330322266,75.36901092529297,-0.05425751209259033,-0.024802150204777718,0.007889351807534695,0.06017695739865303
rl,0,0,2,2,0.04,1.2485893964767456,-1.2490575313568115,1.0004366636276245,-0.04199054464697838,0.02716859243810177,0.012479828670620918,0.051546912640333176,1.6331827640533447,-0.3018372058868408,1.4426300525665283,-1.2427895069122314,0.7490332126617432,16.214609146118164,16.279407501220703,-0.0018910231301560998,-0.0055062430910766125,6.0747730458388105e-05,0.0058222305960953236
rl,1,0,2,2,0.04,1.2480530738830566,1.2511084079742432,1.000073790550232,-0.05561153590679169,0.03042183630168438,0.003221473190933466,0.06347053498029709,-0.533423900604248,2.8304989337921143,1.4381706714630127,-1.5047290325164795,0.7439801096916199,16.034381866455078,16.122007369995117,-0.0019707565661519766,-0.005786426831036806,6.329829193418846e-05,0.006113151554018259
rl,2,0,2,2,0.04,-1.2519468069076538,-1.2513024806976318,1.000025987625122,-0.055611006915569305,-0.03537744656205177,0.0006081445026211441,0.06591295450925827,-2.300881862640381,-2.9567675590515137,1.4052844047546387,-1.5043723583221436,-0.8378498554229736,15.885356903076172,15.978413581848145,-0.0004606730362866074,-0.005772891454398632,-0.00019653084746096283,0.005794576834887266
rl,3,0,2,2,0.04,-1.250680923461914,1.2511975765228271,1.0000468492507935,-0.020300263538956642,0.033585075289011,0.0012317898217588663,0.03926289826631546,-1.7075936794281006,2.3941245079040527,0.9357080459594727,-0.6047400832176208,0.8679922819137573,15.904756546020508,15.939899444580078,-0.0020246480125933886,-0.004927468951791525,0.00010926721733994782,0.005328328814357519
lqr,0,0,2,2,0.04,1.2880635261535645,-1.1558104753494263,1.0430265665054321,0.840767502784729,2.0804531574249268,0.9504233598709106,2.4368996620178223,1.6331827640533447,-0.3018372058868408,1.4426300525665283,6.422444820404053,15.990187644958496,23.046852111816406,28.776575088500977,-0.05648637190461159,0.009337698109447956,0.011043325997889042,0.058308299630880356
lqr,1,0,2,2,0.04,1.0728375911712646,1.4070042371749878,1.0425879955291748,-3.9131433963775635,3.467902898788452,0.9406572580337524,5.312614917755127,-0.533423900604248,2.8304989337921143,1.4381706714630127,-30.116539001464844,26.611927032470703,22.5275821685791,46.07268524169922,-0.09172987937927246,-0.11743395775556564,0.01154408324509859,0.14946027100086212
lqr,2,0,2,2,0.04,-1.3543940782546997,-1.4195475578308105,1.039318561553955,-2.3058297634124756,-3.7449758052825928,0.8684871196746826,4.482852458953857,-2.300881862640381,-2.9567675590515137,1.4052844047546387,-17.783823013305664,-28.719406127929688,22.159757614135742,40.3995475769043,0.09128481894731522,-0.07369786500930786,-0.020858827978372574,0.11916117370128632
