run_tag,seed,env_id,episode_idx,traj_type,rmse_pos,rmse_vel,terminated,steps,total_reward,thrust5_mean_N,thrust5_impulse_frac,w5_mean_rads,w5_max_rads,thrust_total_mean_N,power_mean,heading_err_deg,heading_align,att_err_pd,z_err_mean,traj_amplitude,traj_period,traj_z
v4_obs_tail2,0,0,0,lemniscate,0.7654631740188245,1.2052248466204627,1,1000,,2.235915901801629,0.04197162498720388,485.6124529476166,846.3657836914062,53.272083282057935,1.0187497604687668,40.78876293056973,0.8073743140582148,1.1119478049661349,0.16184457534551622,1.5,8.0,1.5
v4_obs_tail2,0,0,1,lemniscate,0.765364947946317,1.2069570002884467,1,1000,,2.240462933986797,0.04202471379383085,486.5012660636902,845.3662109375,53.31298494924415,1.0193683109453102,40.84883595972934,0.8069695816117677,1.1095203732841088,0.16174559891223908,1.5,8.0,1.5
v4_obs_tail2,0,0,2,lemniscate,0.7652660463738723,1.206858056546513,1,1000,,2.2403878230063468,0.04202348336916331,486.4919245071411,845.3041381835938,53.31275856704292,1.0193666867145068,40.851246101819015,0.8069833828529791,1.1093292297753716,0.16173500722646714,1.5,8.0,1.5
v4_obs_tail2,0,0,3,lemniscate,0.7652621732024185,1.2067865570352052,1,1000,,2.2403732638176472,0.042023472411510276,486.491870803833,845.2798461914062,53.31242601465761,1.0193472707212605,40.847226078483565,0.806999200930395,1.109362358069944,0.16172231763601302,1.5,8.0,1.5
v4_obs_tail2,0,0,4,lemniscate,0.765342816606566,1.2067924592112989,1,1000,,2.2403844034089992,0.04202379424272437,486.494161157608,845.4193725585938,53.31228280980078,1.0193464711227316,40.84731635593412,0.8069856500002278,1.1095401090826917,0.16173577815294266,1.5,8.0,1.5
v4_obs_tail2,0,0,5,lemniscate,0.7653850555937299,1.206819115050279,1,1000,,2.240314547605646,0.04202244600719362,486.48601055145264,845.506591796875,53.3123309200549,1.0193561808509684,40.84679768840682,0.8069698232473902,1.1096681645393585,0.16174714362621306,1.5,8.0,1.5
v4_obs_tail2,0,0,6,lemniscate,0.7653095548455588,1.206786928617665,1,1000,,2.240341259627652,0.042023027657905186,486.48949678230287,845.3804931640625,53.31222866342446,1.0193490602779538,40.85036947758165,0.8069705489752356,1.1094355667455627,0.1617365070581436,1.5,8.0,1.5
v4_obs_tail2,0,0,7,lemniscate,0.7653787826893346,1.2068051472421975,1,1000,,2.240342411070717,0.04202303008706298,486.4909240036011,845.533203125,53.312252981976634,1.01935518311792,40.84636748226333,0.8069696090501075,1.109715671702202,0.16174822413921355,1.5,8.0,1.5
v4_obs_tail2,0,0,8,lemniscate,0.7652018353360013,1.2068086456152964,1,1000,,2.2405156856883024,0.0420259889340104,486.5084507217407,845.2574462890625,53.31262255854065,1.0193494502093243,40.850666217360484,0.8069850139775561,1.109287374125493,0.1617184823155403,1.5,8.0,1.5
v4_obs_tail2,0,0,9,lemniscate,0.765337761225351,1.2068940331570803,1,1000,,2.2404453555103947,0.042024580909604176,486.50153139686586,845.3746337890625,53.31273523773248,1.0193589907935734,40.84706379829226,0.8069769375477511,1.1095485242412364,0.16174095344543457,1.5,8.0,1.5
v4_obs_tail2,0,0,10,lemniscate,0.7652945040232835,1.2068131758620735,1,1000,,2.24037232350901,0.04202337606786054,486.4926387710571,845.3125610351562,53.312525863966606,1.0193527476876338,40.84669945827981,0.8069984697265461,1.1094269501363454,0.16172684502601622,1.5,8.0,1.5
v4_obs_tail2,0,0,11,lemniscate,0.7653994932241389,1.2068281111413564,1,1000,,2.240298378435536,0.04202223913145275,486.48351235580446,845.472900390625,53.312208600486514,1.0193500124990225,40.848776971673985,0.8069726498514603,1.1095778270293517,0.16174520361423492,1.5,8.0,1.5
v4_obs_tail2,0,0,12,lemniscate,0.7653052939709546,1.206833471114687,1,1000,,2.2403725114791313,0.04202343024660966,486.49236758232115,845.3027954101562,53.312461603723534,1.0193462819688015,40.84729373610467,0.8069910635667875,1.109421093087702,0.16173278677463532,1.5,8.0,1.5
v4_obs_tail2,0,0,13,lemniscate,0.7653387628605237,1.2069052264391948,1,1000,,2.240427291129159,0.042024222899342836,486.4978844203949,845.3284912109375,53.31275956001543,1.0193557640888684,40.84692487805382,0.8069822675439884,1.1094994113107046,0.16173832857608794,1.5,8.0,1.5
v4_obs_tail2,0,0,14,lemniscate,0.7652987287951301,1.2068215953903632,1,1000,,2.240396139571284,0.04202385770277609,486.4948943958282,845.3447265625,53.31248157694204,1.019357602487984,40.85042016249158,0.8069716051388033,1.109411696498351,0.16173416709899902,1.5,8.0,1.5
v4_obs_tail2,0,0,15,lemniscate,0.7653765420598309,1.2068024957622963,1,1000,,2.2403431821753013,0.04202304915387514,486.4907315635681,845.5245971679688,53.312247142559116,1.019354466005048,40.846457414484604,0.8069691146334667,1.1097010727145027,0.16174715387821198,1.5,8.0,1.5
v4_obs_tail2,0,0,16,lemniscate,0.7652540097892947,1.2068524911292016,1,1000,,2.2404632697089384,0.042024952513764535,486.5010514602661,845.24560546875,53.312690097034945,1.0193435651757656,40.84955883911065,0.806986078623125,1.1092891527438067,0.1617190642952919,1.5,8.0,1.5
v4_obs_tail2,0,0,17,lemniscate,0.7653730838600481,1.206876030389338,1,1000,,2.2404260788205983,0.04202427518128048,486.4986262245178,845.416748046875,53.31266438638271,1.0193567036859388,40.846450483112875,0.8069825236999469,1.1095956137258998,0.16174184942245484,1.5,8.0,1.5
v4_obs_tail2,0,0,18,lemniscate,0.765331847602906,1.2068788783648479,1,1000,,2.240411717607002,0.042024142550222514,486.4977082977295,845.4002075195312,53.312490907566165,1.0193585927205426,40.84974078009823,0.8069612268780532,1.1095186148475569,0.16174934881925582,1.5,8.0,1.5
v4_obs_tail2,0,0,19,lemniscate,0.7652981621852499,1.2067987245198137,1,1000,,2.2403828722627828,0.04202373817116928,486.4933091392517,845.3648681640625,53.312317508198625,1.019346736160008,40.84994712046971,0.8069802505438685,1.1094259952301908,0.16173172479867934,1.5,8.0,1.5
v4_obs_tail_norm2,0,0,0,lemniscate,1.2055577459482172,1.9396829768456563,1,1000,,4.265146380202517,0.07236608307660783,591.762087849617,999.5387573242188,58.93847226313698,1.2749985850589787,47.33092273241302,0.7422718054188852,1.604944054985439,0.2891882736682892,1.5,8.0,1.5
