env_id,episode_id,end_global_step,length_steps,reason
3,0,24,24,terminated
1,0,26,26,terminated
2,0,27,27,terminated
0,0,28,28,terminated
3,1,49,25,terminated
1,1,52,26,terminated
0,1,53,25,terminated
2,1,55,28,terminated
1,2,78,26,terminated
3,2,78,29,terminated
0,2,79,26,terminated
2,2,84,29,terminated
