controller,env_id,episode_id,episode_step,global_step,t,x,y,z,vx,vy,vz,speed,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz
rl,2,0,5,5,0.1,-5.033449172973633,-5.0049872398376465,0.9754576683044434,-0.22787456214427948,0.04163554683327675,-0.18268592655658722,0.2950160801410675,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
rl,3,0,5,5,0.1,-5.007331371307373,4.9778008460998535,0.9610051512718201,-0.10341533273458481,-0.14818024635314941,-0.265787273645401,0.3213953673839569,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
lqr,0,0,5,5,0.1,4.9349470138549805,-3.964427947998047,0.8932536840438843,-0.10128634423017502,1.61237633228302,-0.16619737446308136,1.6240806579589844,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
lqr,1,0,5,5,0.1,4.672860622406006,3.8743722438812256,1.1157398223876953,-0.5093578696250916,-1.7525867223739624,0.18020135164260864,1.8339787721633911,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
lqr,2,0,5,5,0.1,-5.443490982055664,-5.849037170410156,0.923750638961792,-0.6905060410499573,-1.3219410181045532,-0.11871681362390518,1.4961351156234741,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
lqr,3,0,5,5,0.1,-6.3412251472473145,4.009879112243652,1.1960960626602173,-2.088282823562622,-1.5416057109832764,0.30532345175743103,2.6135599613189697,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
rl,0,0,6,6,0.12,4.994515419006348,-5.026779651641846,0.9387362003326416,-0.008394114673137665,-0.13764195144176483,-0.25519707798957825,0.2900712192058563,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
rl,1,0,6,6,0.12,4.970316410064697,4.9598212242126465,0.9310646653175354,-0.04429933801293373,-0.11694835126399994,-0.25425323843955994,0.28334441781044006,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
rl,2,0,6,6,0.12,-5.045171737670898,-5.0044355392456055,0.9610401391983032,-0.17216676473617554,-0.01400130894035101,-0.28144121170043945,0.3302220106124878,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
rl,3,0,6,6,0.12,-5.012976169586182,4.966983795166016,0.9438564777374268,-0.08739069849252701,-0.20319047570228577,-0.3001164495944977,0.3728181719779968,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
lqr,0,0,6,6,0.12,4.92985200881958,-3.883319854736328,0.8848933577537537,-0.07437842339277267,1.1840109825134277,-0.12204283475875854,1.1926058530807495,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
lqr,1,0,6,6,0.12,4.647237777709961,3.7862114906311035,1.1248046159744263,-0.3740287721157074,-1.2869722843170166,0.13232532143592834,1.3467386960983276,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
lqr,2,0,6,6,0.12,-5.4782257080078125,-5.915534973144531,0.9177787899971008,-0.5070513486862183,-0.9707379341125488,-0.08717736601829529,1.098650574684143,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
lqr,3,0,6,6,0.12,-6.446272373199463,3.9323315620422363,1.2114548683166504,-1.5334882736206055,-1.1320414543151855,0.2242068350315094,1.919211506843567,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
rl,0,0,7,7,0.14,4.992422103881836,-5.034748554229736,0.9230936169624329,-0.053762540221214294,-0.12935666739940643,-0.26464542746543884,0.2994340658187866,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
rl,1,0,7,7,0.14,4.967838287353516,4.954746723175049,0.9123690128326416,-0.03914869204163551,-0.06138811632990837,-0.3525509834289551,0.3599907159805298,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
rl,2,0,7,7,0.14,-5.053554534912109,-5.003331184387207,0.9429877996444702,-0.11648695170879364,0.04158177599310875,-0.314750999212265,0.3381810784339905,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
rl,3,0,7,7,0.14,-5.020163059234619,4.954891681671143,0.9250897169113159,-0.14288640022277832,-0.20034916698932648,-0.3218131363391876,0.4051172733306885,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
lqr,0,0,7,7,0.14,4.926109790802002,-3.8237597942352295,0.8787544369697571,-0.0546136274933815,0.8694491386413574,-0.08961978554725647,0.8757603764533997,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
lqr,1,0,7,7,0.14,4.628422737121582,3.721472978591919,1.1314610242843628,-0.27465683221817017,-0.9450576305389404,0.09716953337192535,0.9889450073242188,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
lqr,2,0,7,7,0.14,-5.503732681274414,-5.964365482330322,0.9133936166763306,-0.37233686447143555,-0.7128419876098633,-0.06401631981134415,0.8067692518234253,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
lqr,3,0,7,7,0.14,-6.523411273956299,3.8753857612609863,1.2227331399917603,-1.1260831356048584,-0.8312821388244629,0.16464047133922577,1.4093259572982788,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
rl,0,0,8,8,0.16,4.9892120361328125,-5.04384708404541,0.9037590622901917,-0.0533188134431839,-0.16756027936935425,-0.363386332988739,0.40369415283203125,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
rl,1,0,8,8,0.16,4.963545322418213,4.949116230010986,0.8896264433860779,-0.09465835243463516,-0.11703578382730484,-0.39796072244644165,0.4254765510559082,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
rl,2,0,8,8,0.16,-5.058596134185791,-4.999185562133789,0.9236429929733276,-0.06080475077033043,0.08873359113931656,-0.32788604497909546,0.34507986903190613,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
rl,3,0,8,8,0.16,-5.028884410858154,4.942303657531738,0.9044209122657776,-0.1470824033021927,-0.2165507823228836,-0.3606717884540558,0.4456586241722107,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
lqr,0,0,8,8,0.16,4.923361778259277,-3.7800235748291016,0.8742462396621704,-0.04009976610541344,0.6384578347206116,-0.06581093370914459,0.643092155456543,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
lqr,1,0,8,8,0.16,4.614607810974121,3.673933267593384,1.1363489627838135,-0.20168839395046234,-0.6939777135848999,0.07135383784770966,0.7262056469917297,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
lqr,2,0,8,8,0.16,-5.522462368011475,-6.000224590301514,0.9101737141609192,-0.2734183967113495,-0.523455023765564,-0.047010280191898346,0.5924295783042908,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
lqr,3,0,8,8,0.16,-6.580056667327881,3.833569049835205,1.2310148477554321,-0.8269092440605164,-0.6104303598403931,0.12090004235506058,1.0349013805389404,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
rl,0,0,9,9,0.18,4.986275672912598,-5.052297592163086,0.879709005355835,-0.0457899309694767,-0.12182585895061493,-0.4275799095630646,0.4469483494758606,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
rl,1,0,9,9,0.18,4.958261013031006,4.94014835357666,0.8649930953979492,-0.08333217352628708,-0.1726532280445099,-0.4195539951324463,0.4612796902656555,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
rl,2,0,9,9,0.18,-5.061576843261719,-4.9950737953186035,0.9026097059249878,-0.04171805456280708,0.05407987907528877,-0.3667466342449188,0.3730524480342865,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
rl,3,0,9,9,0.18,-5.037759304046631,4.931256294250488,0.8793249726295471,-0.1484677493572235,-0.16097146272659302,-0.45940497517585754,0.5089277029037476,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
lqr,0,0,9,9,0.18,4.92134428024292,-3.7479076385498047,0.8709357380867004,-0.029443448409438133,0.4688345491886139,-0.04832671582698822,0.4722374677658081,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
lqr,1,0,9,9,0.18,4.604461669921875,3.6390233039855957,1.139938473701477,-0.14810754358768463,-0.5096032619476318,0.0523967482149601,0.5332698822021484,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
lqr,2,0,9,9,0.18,-5.536215305328369,-6.02655553817749,0.9078088402748108,-0.2007780820131302,-0.38438862562179565,-0.034521084278821945,0.43503811955451965,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
lqr,3,0,9,9,0.18,-6.621653079986572,3.802863836288452,1.2370965480804443,-0.6072207689285278,-0.44825419783592224,0.08878039568662643,0.7599545121192932,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
rl,0,0,10,10,0.2,4.9815850257873535,-5.057660102844238,0.8540732264518738,-0.10127956420183182,-0.06627199798822403,-0.42702677845954895,0.4438484013080597,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
rl,1,0,10,10,0.2,4.953047752380371,4.928401470184326,0.8383101224899292,-0.08935558795928955,-0.21229159832000732,-0.4626806974411011,0.5168419480323792,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
rl,2,0,10,10,0.2,-5.062131881713867,-4.991288185119629,0.8780986070632935,0.013961848802864552,0.0695435032248497,-0.4383573532104492,0.44405898451805115,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
rl,3,0,10,10,0.2,-5.048609733581543,4.919649600982666,0.8493369817733765,-0.20397396385669708,-0.21661202609539032,-0.5286496877670288,0.6066272854804993,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
lqr,0,0,10,10,0.2,4.919862747192383,-3.7243239879608154,0.8685048222541809,-0.021620703861117363,0.3442794680595398,-0.03548833727836609,0.34677836298942566,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
lqr,1,0,10,10,0.2,4.597011089324951,3.6133882999420166,1.1425740718841553,-0.10875417292118073,-0.37421151995658875,0.03847590088844299,0.3915892243385315,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
lqr,2,0,10,10,0.2,-5.5463151931762695,-6.045891761779785,0.9060723185539246,-0.14743681252002716,-0.2822705805301666,-0.025350119918584824,0.31946349143981934,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
lqr,3,0,10,10,0.2,-6.65219783782959,3.7803142070770264,1.2415626049041748,-0.4458967447280884,-0.3291638195514679,0.06519247591495514,0.558052659034729,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
rl,0,0,11,11,0.22,4.976997375488281,-5.0610761642456055,0.8250829577445984,-0.058694735169410706,-0.05028877407312393,-0.523280680179596,0.5289581418037415,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
rl,1,0,11,11,0.22,4.948696136474609,4.917292594909668,0.8087218403816223,-0.060477182269096375,-0.16579782962799072,-0.514896035194397,0.5443016886711121,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
rl,2,0,11,11,0.22,-5.063239097595215,-4.985757350921631,0.8500589728355408,-0.04155651107430458,0.10837285220623016,-0.4880123436450958,0.5016250610351562,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
rl,3,0,11,11,0.22,-5.062320709228516,4.908224582672119,0.8155181407928467,-0.24598318338394165,-0.17172512412071228,-0.5886401534080505,0.6606772541999817,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
lqr,0,0,11,11,0.22,4.9187750816345215,-3.7070059776306152,0.8667197227478027,-0.015874391421675682,0.25281253457069397,-0.026059655472636223,0.2546473741531372,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
lqr,1,0,11,11,0.22,4.591540813446045,3.5945632457733154,1.1445093154907227,-0.07986250519752502,-0.2747891843318939,0.028254888951778412,0.28755077719688416,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
lqr,2,0,11,11,0.22,-5.553733825683594,-6.060092449188232,0.9047971367835999,-0.10826078802347183,-0.20726872980594635,-0.018615569919347763,0.2345789074897766,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
lqr,3,0,11,11,0.22,-6.674628257751465,3.7637555599212646,1.2448416948318481,-0.3274313807487488,-0.24170801043510437,0.047873109579086304,0.4097876250743866,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
rl,0,0,12,12,0.24,4.975423336029053,-5.063760757446289,0.7915477156639099,-0.003014499321579933,-0.04074656963348389,-0.5843769311904907,0.5858035087585449,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
rl,1,0,12,12,0.24,4.943123817443848,4.909289836883545,0.7757958173751831,-0.11598528176546097,-0.1102367714047432,-0.5729467272758484,0.594871997833252,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
rl,2,0,12,12,0.24,-5.067349910736084,-4.977309226989746,0.8173935413360596,-0.08773493766784668,0.16393256187438965,-0.5847137570381165,0.6135646104812622,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
rl,3,0,12,12,0.24,-5.076145172119141,4.897646427154541,0.7771747708320618,-0.21924206614494324,-0.17958876490592957,-0.675075113773346,0.7321513295173645,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
lqr,0,0,12,12,0.24,4.917975902557373,-3.694288969039917,0.8654085993766785,-0.011656778864562511,0.1856488585472107,-0.019136149436235428,0.18699617683887482,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
lqr,1,0,12,12,0.24,4.587523460388184,3.580740451812744,1.1459307670593262,-0.05864671245217323,-0.20178137719631195,0.020748304203152657,0.21115314960479736,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
lqr,2,0,12,12,0.24,-5.559179782867432,-6.070518970489502,0.9038609862327576,-0.07948888093233109,-0.1521977186203003,-0.013670453801751137,0.17224839329719543,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
lqr,3,0,12,12,0.24,-6.691099166870117,3.751596450805664,1.2472498416900635,-0.24044567346572876,-0.17749059200286865,0.03515448793768883,0.3009200394153595,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
rl,0,0,13,13,0.26,4.974706172943115,-5.068153381347656,0.7553158402442932,-0.018356427550315857,-0.09638097137212753,-0.6177783012390137,0.6255208253860474,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
rl,1,0,13,13,0.26,4.934221267700195,4.902799129486084,0.7395372986793518,-0.17146924138069153,-0.10671218484640121,-0.6267036199569702,0.6584425568580627,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
rl,2,0,13,13,0.26,-5.071950435638428,-4.968037128448486,0.780147910118103,-0.06875327229499817,0.14784860610961914,-0.6465101838111877,0.6667545437812805,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
rl,3,0,13,13,0.26,-5.090771675109863,4.885932445526123,0.7335471510887146,-0.261258602142334,-0.2064308524131775,-0.7643083333969116,0.8336887955665588,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
lqr,0,0,13,13,0.26,4.917387962341309,-3.6849493980407715,0.8644458651542664,-0.008552182465791702,0.1363227516412735,-0.014051197096705437,0.13731157779693604,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
lqr,1,0,13,13,0.26,4.584574222564697,3.570589303970337,1.1469742059707642,-0.04306887462735176,-0.14817054569721222,0.015236401930451393,0.1550534963607788,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
lqr,2,0,13,13,0.26,-5.563178062438965,-6.0781755447387695,0.90317302942276,-0.0583745576441288,-0.11176185309886932,-0.010038363747298717,0.12648743391036987,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
lqr,3,0,13,13,0.26,-6.703193187713623,3.7426676750183105,1.2490183115005493,-0.17657102644443512,-0.13033312559127808,0.025814097374677658,0.2209760546684265,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
rl,0,0,14,14,0.28,4.9733195304870605,-5.0758819580078125,0.717491865158081,-0.026495805010199547,-0.15199512243270874,-0.6394249796867371,0.6577757000923157,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
rl,1,0,14,14,0.28,4.924431324005127,4.895383358001709,0.7023715376853943,-0.15717308223247528,-0.13567917048931122,-0.6142406463623047,0.6483855247497559,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
rl,2,0,14,14,0.28,-5.077724933624268,-4.9572224617004395,0.741794228553772,-0.11581113934516907,0.20340938866138458,-0.6340224146842957,0.6758491396903992,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
rl,3,0,14,14,0.28,-5.1079277992248535,4.875492572784424,0.6881253123283386,-0.30349454283714294,-0.15085779130458832,-0.7518227696418762,0.8246845006942749,-6.736624717712402,3.717988967895508,1.257026195526123,0.0,0.0,0.0
lqr,0,0,14,14,0.28,4.916956901550293,-3.6780922412872314,0.8637388348579407,-0.006273952312767506,0.1001078188419342,-0.010317817330360413,0.10083350539207458,4.915769577026367,-3.6591379642486572,0.8649056553840637,0.0,0.0,0.0
lqr,1,0,14,14,0.28,4.582407474517822,3.563135862350464,1.1477406024932861,-0.031626541167497635,-0.10880285501480103,0.011189350858330727,0.11385736614465714,4.576419353485107,3.5425350666046143,1.1529794931411743,0.0,0.0,0.0
lqr,2,0,14,14,0.28,-5.566114902496338,-6.08379602432251,0.9026681780815125,-0.042867355048656464,-0.08207141607999802,-0.00737066799774766,0.09288516640663147,-5.574231147766113,-6.09933614730835,0.9043927192687988,0.0,0.0,0.0
