controller,env_id,episode_id,episode_step,global_step,t,x,y,z,vx,vy,vz,speed,goal_x,goal_y,goal_z,fx_body,fy_body,fz_body,body_force_norm,tx_body,ty_body,tz_body,body_torque_norm
rl,0,0,0,0,0.0,1.25,-1.25,1.0,0.0,0.0,0.0,0.0,1.9038188457489014,-2.469405174255371,0.5867605209350586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,1,0,0,0,0.0,1.25,1.25,1.0,0.0,0.0,0.0,0.0,1.2025550603866577,2.868849039077759,0.7754038572311401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,2,0,0,0,0.0,-1.25,-1.25,1.0,0.0,0.0,0.0,0.0,-0.6174304485321045,0.5038750171661377,0.7675772309303284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,3,0,0,0,0.0,-1.25,1.25,1.0,0.0,0.0,0.0,0.0,-1.8522833585739136,-0.7022178173065186,1.0657811164855957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,0,0,0,0,0.0,1.25,-1.25,1.0,0.0,0.0,0.0,0.0,1.9038188457489014,-2.469405174255371,0.5867605209350586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,1,0,0,0,0.0,1.25,1.25,1.0,0.0,0.0,0.0,0.0,1.2025550603866577,2.868849039077759,0.7754038572311401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,2,0,0,0,0.0,-1.25,-1.25,1.0,0.0,0.0,0.0,0.0,-0.6174304485321045,0.5038750171661377,0.7675772309303284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,3,0,0,0,0.0,-1.25,1.25,1.0,0.0,0.0,0.0,0.0,-1.8522833585739136,-0.7022178173065186,1.0657811164855957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,0,0,1,1,0.02,1.2496854066848755,-1.2505555152893066,0.9998155832290649,-0.015741324052214622,-0.027802634984254837,-0.009223527275025845,0.03325431048870087,1.9038188457489014,-2.469405174255371,0.5867605209350586,-0.8491314649581909,-1.4999980926513672,15.380685806274414,15.476966857910156,-4.183911187283229e-06,-0.0015530530363321304,-6.673821189906448e-05,0.0015544920461252332
rl,1,0,1,1,0.02,1.2497650384902954,1.2505043745040894,0.999937891960144,-0.011748943477869034,0.025224393233656883,-0.003103396622464061,0.02799890749156475,1.2025550603866577,2.868849039077759,0.7754038572311401,-0.6337755918502808,1.3608474731445312,15.710844039916992,15.782401084899902,-0.0007135873893275857,-0.0015248815761879086,4.5992568630026653e-05,0.0016842166660353541
