controller,env_id,episode_id,episode_step,global_step,t,x,y,z,vx,vy,vz,speed,goal_x,goal_y,goal_z,fx_body,fy_body,fz_body,body_force_norm,tx_body,ty_body,tz_body,body_torque_norm
rl,0,0,0,0,0.0,5.0,-5.0,1.0,0.0,0.0,0.0,0.0,4.758898735046387,-3.7068443298339844,1.4623899459838867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,1,0,0,0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,6.129847526550293,5.494240760803223,0.5432387590408325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,2,0,0,0,0.0,-5.0,-5.0,1.0,0.0,0.0,0.0,0.0,-5.626895904541016,-3.7761642932891846,0.5389913320541382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,3,0,0,0,0.0,-5.0,5.0,1.0,0.0,0.0,0.0,0.0,-5.19050407409668,6.839437961578369,0.6156301498413086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,0,0,0,0,0.0,5.0,-5.0,1.0,0.0,0.0,0.0,0.0,4.758898735046387,-3.7068443298339844,1.4623899459838867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,1,0,0,0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,6.129847526550293,5.494240760803223,0.5432387590408325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,2,0,0,0,0.0,-5.0,-5.0,1.0,0.0,0.0,0.0,0.0,-5.626895904541016,-3.7761642932891846,0.5389913320541382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,3,0,0,0,0.0,-5.0,5.0,1.0,0.0,0.0,0.0,0.0,-5.19050407409668,6.839437961578369,0.6156301498413086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,0,0,1,1,0.02,4.999443531036377,-4.99949312210083,1.0000855922698975,-0.027812683954834938,0.025360753759741783,0.0042802984826266766,0.037881843745708466,4.758898735046387,-3.7068443298339844,1.4623899459838867,-1.500537633895874,1.3682491779327393,16.10912322998047,16.23661231994629,-0.0007253896328620613,-0.001792284892871976,3.731816104846075e-05,0.001933873863890767
rl,1,0,1,1,0.02,5.000242710113525,5.000555992126465,0.9993876218795776,0.01213450450450182,0.02780737727880478,-0.030619680881500244,0.04310523346066475,6.129847526550293,5.494240760803223,0.5432387590408325,0.654769778251648,1.5001916885375977,14.226349830627441,14.320206642150879,-0.0007112848688848317,-0.0010504594538360834,6.469571962952614e-05,0.0012702663661912084
rl,2,0,1,1,0.02,-5.000555515289307,-4.999460697174072,0.9997010231018066,-0.027812253683805466,0.026939544826745987,-0.014945500530302525,0.04150455817580223,-5.626895904541016,-3.7761642932891846,0.5389913320541382,-1.500499963760376,1.4534205198287964,15.071830749511719,15.215912818908691,-0.000721214571967721,-0.0017029340378940105,4.060985884279944e-05,0.0018498065182939172
rl,3,0,1,1,0.02,-5.000555515289307,5.000555992126465,0.9994915723800659,-0.027812009677290916,0.027806812897324562,-0.025415919721126556,0.04682622849941254,-5.19050407409668,6.839437961578369,0.6156301498413086,-1.5004794597625732,1.500206708908081,14.506917953491211,14.661266326904297,-0.0007190392934717238,-0.0016542731318622828,4.241803981130943e-05,0.0018042827723547816
lqr,0,0,1,1,0.02,4.99165153503418,-4.955227851867676,1.0156495571136475,-0.3776681125164032,2.0255720615386963,0.708024263381958,2.17873215675354,4.758898735046387,-3.7068443298339844,1.4623899459838867,-14.293374061584473,76.47499084472656,42.429969787597656,88.61730194091797,-0.05917072668671608,-0.020932937040925026,0.008801113814115524,0.06337840855121613
lqr,1,0,1,1,0.02,5.039116382598877,5.0171122550964355,0.9838282465934753,1.7697702646255493,0.7741711139678955,-0.7316452860832214,2.0656070709228516,6.129847526550293,5.494240760803223,0.5432387590408325,66.72185516357422,29.203292846679688,-11.864673614501953,73.79301452636719,-0.020205553621053696,0.05820789188146591,0.005706514231860638,0.061878811568021774
lqr,2,0,1,1,0.02,-5.021704196929932,-4.95762825012207,0.9836834073066711,-0.9819276928901672,1.9169766902923584,-0.738219141960144,2.2768287658691406,-5.626895904541016,-3.7761642932891846,0.5389913320541382,-37.04490280151367,72.27350616455078,-12.126290321350098,82.11474609375,-0.05218234285712242,-0.02519489824771881,0.007563150022178888,0.05843783915042877
lqr,3,0,1,1,0.02,-5.006594181060791,5.063684940338135,0.9863362312316895,-0.2983757257461548,2.8812453746795654,-0.6181944608688354,2.961885690689087,-5.19050407409668,6.839437961578369,0.6156301498413086,-11.298991203308105,108.64751434326172,-7.726827621459961,109.50640869140625,-0.07936966419219971,-0.005675753112882376,0.012809903360903263,0.08059684187173843
rl,0,0,2,2,0.04,4.998474597930908,-4.998176097869873,1.000221610069275,-0.03449501842260361,0.05316206440329552,0.0046529038809239864,0.06354337930679321,4.758898735046387,-3.7068443298339844,1.4623899459838867,-0.36540597677230835,1.5019171237945557,15.898253440856934,15.97321891784668,-0.002431349828839302,-0.0055104587227106094,0.00015169935068115592,0.006024917587637901
rl,1,0,2,2,0.04,5.00108003616333,5.001945972442627,0.9981287121772766,0.03585489094257355,0.055609531700611115,-0.04762959107756615,0.0815265029668808,6.129847526550293,5.494240760803223,0.5432387590408325,1.277308702468872,1.501648187637329,14.960799217224121,15.090127944946289,-0.00237609283067286,-0.0033147733192890882,0.00024020981800276786,0.00408549141138792
rl,2,0,2,2,0.04,-5.0019450187683105,-4.998213291168213,0.9991211891174316,-0.0556117445230484,0.04881005361676216,-0.021525470539927483,0.0770612359046936,-5.626895904541016,-3.7761642932891846,0.5389913320541382,-1.5044615268707275,1.1819124221801758,15.522762298583984,15.640219688415527,-0.0023347523529082537,-0.005582804791629314,0.00013616535579785705,0.006052876822650433
rl,3,0,2,2,0.04,-5.0019450187683105,5.001945972442627,0.9982370138168335,-0.05561172589659691,0.055608347058296204,-0.05000787600874901,0.09319731593132019,-5.19050407409668,6.839437961578369,0.6156301498413086,-1.504001259803772,1.5017426013946533,14.550929069519043,14.705331802368164,-0.002384738763794303,-0.005389393772929907,0.00015325059939641505,0.005895424634218216
lqr,0,0,2,2,0.04,4.977318286895752,-4.878351211547852,1.0425224304199219,-0.5108121633529663,2.7397727966308594,0.9577038288116455,2.946944236755371,4.758898735046387,-3.7068443298339844,1.4623899459838867,-4.637750625610352,24.600597381591797,24.26321029663086,34.86260986328125,-0.07337067276239395,-0.026875708252191544,0.012418894097208977,0.07911881804466248
lqr,1,0,2,2,0.04,5.106285572052002,5.046494007110596,0.9560590386390686,2.3937623500823975,1.0471374988555908,-0.9896403551101685,2.793919086456299,6.129847526550293,5.494240760803223,0.5432387590408325,21.400726318359375,9.374163627624512,6.896365165710449,24.360334396362305,-0.025417068973183632,0.06753204762935638,0.008053367957472801,0.07260483503341675
lqr,2,0,2,2,0.04,-5.05897331237793,-4.8848724365234375,0.95566326379776,-1.3281707763671875,2.5929009914398193,-0.998619794845581,3.0796778202056885,-5.626895904541016,-3.7761642932891846,0.5389913320541382,-11.892996788024902,23.170005798339844,6.802523136138916,26.91777992248535,-0.06468991190195084,-0.031951919198036194,0.010660272091627121,0.07293388247489929
lqr,3,0,2,2,0.04,-5.017917633056641,5.173038959503174,0.962871789932251,-0.4036032557487488,3.897160291671753,-0.8362526893615723,4.006254196166992,-5.19050407409668,6.839437961578369,0.6156301498413086,-3.6588380336761475,34.846622467041016,8.116790771484375,35.96604537963867,-0.09812109917402267,-0.008573351427912712,0.018067026510834694,0.10013825446367264
rl,0,0,3,3,0.06,4.997073650360107,-4.996024131774902,1.0003732442855835,-0.05278196930885315,0.08095987141132355,0.0052591185085475445,0.0967889204621315,4.758898735046387,-3.7068443298339844,1.4623899459838867,-0.9979559183120728,1.5048542022705078,15.90999698638916,16.012136459350586,-0.0035130581818521023,-0.007269935216754675,0.00026472951867617667,0.008078590035438538
rl,1,0,3,3,0.06,5.002686977386475,5.004169940948486,0.9962024092674255,0.062441036105155945,0.08340848982334137,-0.0724923387169838,0.12692910432815552,6.129847526550293,5.494240760803223,0.5432387590408325,1.4284276962280273,1.5041570663452148,14.537256240844727,14.684505462646484,-0.0034066294319927692,-0.004360385704785585,0.0003894343681167811,0.005547048524022102
rl,2,0,3,3,0.06,-5.00416898727417,-4.9961957931518555,0.9984010457992554,-0.08340299129486084,0.0764777883887291,-0.02524879202246666,0.11594141274690628,-5.626895904541016,-3.7761642932891846,0.5389913320541382,-1.5111184120178223,1.497557520866394,15.675990104675293,15.819697380065918,-0.003298210445791483,-0.007889981381595135,0.0002027355949394405,0.008554010652005672
rl,3,0,3,3,0.06,-5.00416898727417,5.0041704177856445,0.9963555932044983,-0.08340475708246231,0.08340682089328766,-0.06907302141189575,0.1366899162530899,-5.19050407409668,6.839437961578369,0.6156301498413086,-1.5099453926086426,1.5043776035308838,14.848307609558105,15.000511169433594,-0.003404347924515605,-0.007566564250737429,0.00023895637423265725,0.00830057729035616
lqr,0,0,3,3,0.06,4.961267948150635,-4.792267799377441,1.0726137161254883,-0.5399181842803955,2.8959274291992188,1.0123090744018555,3.1149120330810547,4.758898735046387,-3.7068443298339844,1.4623899459838867,-0.537725031375885,2.694411277770996,16.733972549438477,16.958032608032227,-0.056741759181022644,-0.022443227469921112,0.01123176608234644,0.062044162303209305
lqr,1,0,3,3,0.06,5.181498050689697,5.079394340515137,0.9249644875526428,2.5301918983459473,1.1068195104599,-1.0460621118545532,2.95316219329834,6.129847526550293,5.494240760803223,0.5432387590408325,2.3455333709716797,1.020112156867981,14.940773010253906,15.15812873840332,-0.020174456760287285,0.04682883992791176,0.0072848680429160595,0.051507458090782166
lqr,2,0,3,3,0.06,-5.100704669952393,-4.803403854370117,0.9242854714393616,-1.4038853645324707,2.740691900253296,-1.0556000471115112,3.2552385330200195,-5.626895904541016,-3.7761642932891846,0.5389913320541382,-1.2944107055664062,2.52183198928833,14.929927825927734,15.196640014648438,-0.0500757209956646,-0.026175925508141518,0.009633410722017288,0.057319801300764084
lqr,3,0,3,3,0.06,-5.030598163604736,5.295487403869629,0.9365957379341125,-0.426622211933136,4.119284629821777,-0.8839665651321411,4.2346086502075195,-5.19050407409668,6.839437961578369,0.6156301498413086,-0.3998151421546936,3.7962148189544678,15.056739807128906,15.53307819366455,-0.07555489242076874,-0.008928736671805382,0.016337191686034203,0.07781495898962021
rl,0,0,4,4,0.08,4.9950995445251465,-4.993040084838867,1.0006451606750488,-0.07230289280414581,0.10875550657510757,0.01097560953348875,0.1310569792985916,4.758898735046387,-3.7068443298339844,1.4623899459838867,-1.0726488828659058,1.5086406469345093,16.184837341308594,16.29035186767578,-0.004178882110863924,-0.008610375225543976,0.00033959760912694037,0.009576896205544472
rl,1,0,4,4,0.08,5.00490140914917,5.0069756507873535,0.9934300780296326,0.0794643983244896,0.09857635945081711,-0.10236871242523193,0.16282273828983307,6.129847526550293,5.494240760803223,0.5432387590408325,0.9086999297142029,0.8258572816848755,14.266828536987305,14.319573402404785,-0.0038430290296673775,-0.00494580389931798,0.000476212939247489,0.006281450856477022
rl,2,0,4,4,0.08,-5.007227897644043,-4.993483066558838,0.9976115822792053,-0.1111898124217987,0.09742386639118195,-0.02684636227786541,0.15025082230567932,-5.626895904541016,-3.7761642932891846,0.5389913320541382,-1.5193872451782227,1.138567328453064,15.789796829223633,15.903539657592773,-0.003935505170375109,-0.00925053283572197,0.00026249117217957973,0.010056314058601856
rl,3,0,4,4,0.08,-5.007227897644043,5.007228851318359,0.9936725497245789,-0.11119379848241806,0.11120349913835526,-0.0996195524930954,0.1861567497253418,-5.19050407409668,6.839437961578369,0.6156301498413086,-1.516540288925171,1.5073403120040894,14.227801322937012,14.387574195861816,-0.004021611995995045,-0.008809264749288559,0.00030526649788953364,0.009688637219369411
lqr,0,0,4,4,0.08,4.9452900886535645,-4.706569671630859,1.1025705337524414,-0.5260539054870605,2.8215768337249756,0.986327588558197,3.0349416732788086,4.758898735046387,-3.7068443298339844,1.4623899459838867,1.1339377164840698,-6.185278415679932,13.73950481414795,15.110177993774414,-0.035690631717443466,-0.016525162383913994,0.008634625002741814,0.04026734456419945
lqr,1,0,4,4,0.08,5.256372451782227,5.112146854400635,0.8940087556838989,2.465235948562622,1.0784025192260742,-1.0192160606384277,2.877349615097046,6.129847526550293,5.494240760803223,0.5432387590408325,-5.3507232666015625,-2.358628273010254,18.24704933166504,19.161109924316406,-0.013362295925617218,0.02356055937707424,0.005601544864475727,0.02765914425253868
lqr,2,0,4,4,0.08,-5.14224910736084,-4.722299575805664,0.8930469155311584,-1.3678499460220337,2.6703310012817383,-1.0285247564315796,3.1716785430908203,-5.626895904541016,-3.7761642932891846,0.5389913320541382,2.9919164180755615,-5.811269760131836,18.281068801879883,19.414424896240234,-0.03162321448326111,-0.018710259348154068,0.007404792588204145,0.037482425570487976
lqr,3,0,4,4,0.08,-5.043224334716797,5.417388916015625,0.9104363918304443,-0.4156770706176758,4.013530254364014,-0.8612939715385437,4.125898361206055,-5.19050407409668,6.839437961578369,0.6156301498413086,0.935584545135498,-8.743335723876953,17.972204208374023,20.008031845092773,-0.04720090329647064,-0.008656655438244343,0.012564047239720821,0.04960562661290169
rl,0,0,5,5,0.1,4.992669105529785,-4.989221096038818,1.0010991096496582,-0.08538089692592621,0.13654986023902893,0.017212463542819023,0.16196304559707642,4.758898735046387,-3.7068443298339844,1.4623899459838867,-0.7340073585510254,1.5129066705703735,16.21257972717285,16.29955291748047,-0.00459739426150918,-0.009363971650600433,0.00039992580423131585,0.010439345613121986
rl,1,0,5,5,0.1,5.0077619552612305,5.010305881500244,0.9898038506507874,0.10331802070140839,0.11725899577140808,-0.1301298588514328,0.20336681604385376,6.129847526550293,5.494240760803223,0.5432387590408325,1.272634506225586,1.0187278985977173,14.381296157836914,14.473392486572266,-0.003862854326143861,-0.005388545338064432,0.0004963753162883222,0.00664864294230938
rl,2,0,5,5,0.1,-5.0111188888549805,-4.990080833435059,0.9966810345649719,-0.13897430896759033,0.12149149924516678,-0.033104535192251205,0.18753653764724731,-5.626895904541016,-3.7761642932891846,0.5389913320541382,-1.528031349182129,1.310592532157898,15.53707218170166,15.66694450378418,-0.004212341737002134,-0.010031575337052345,0.0002895202487707138,0.010883939452469349
rl,3,0,5,5,0.1,-5.011119842529297,5.011120796203613,0.9900882840156555,-0.13898088037967682,0.1389990746974945,-0.12939228117465973,0.23532697558403015,-5.19050407409668,6.839437961578369,0.6156301498413086,-1.5243788957595825,1.5109108686447144,14.268356323242188,14.428879737854004,-0.004373556934297085,-0.0094407694414258,0.00035661860601976514,0.010410730727016926
lqr,0,0,5,5,0.1,4.930094242095947,-4.625073432922363,1.131058692932129,-0.49566271901130676,2.658569097518921,0.9293482303619385,2.8596081733703613,4.758898735046387,-3.7068443298339844,1.4623899459838867,1.7473313808441162,-9.433328628540039,12.660565376281738,15.884922981262207,-0.01832014136016369,-0.011728585697710514,0.0059501794166862965,0.02255198359489441
lqr,1,0,5,5,0.1,5.327575206756592,5.143294334411621,0.8645703196525574,2.3228225708007812,1.0161019563674927,-0.9603392481803894,2.7111287117004395,6.129847526550293,5.494240760803223,0.5432387590408325,-8.165616989135742,-3.5926005840301514,19.466867446899414,21.413618087768555,-0.007713008671998978,0.0053922017104923725,0.003861461766064167,0.010172376409173012
lqr,2,0,5,5,0.1,-5.181756019592285,-4.645172595977783,0.8633399605751038,-1.2888305187225342,2.516061782836914,-0.969109833240509,2.9884486198425293,-5.626895904541016,-3.7761642932891846,0.5389913320541382,4.554987907409668,-8.84837818145752,19.52565574645996,21.915586471557617,-0.01643039844930172,-0.012703538872301579,0.005106703378260136,0.021387293934822083
lqr,3,0,5,5,0.1,-5.055229663848877,5.5333123207092285,0.8855594396591187,-0.39166608452796936,3.7816598415374756,-0.8115403056144714,3.887537956237793,-5.19050407409668,6.839437961578369,0.6156301498413086,1.4268338680267334,-13.317091941833496,19.069704055786133,23.303098678588867,-0.023879824206233025,-0.008339614607393742,0.008668229915201664,0.02673823945224285
rl,0,0,6,6,0.12,4.989628314971924,-4.984568119049072,1.0017402172088623,-0.1093345656991005,0.16434326767921448,0.02345035783946514,0.1987779587507248,4.758898735046387,-3.7068443298339844,1.4623899459838867,-1.3298662900924683,1.5173285007476807,16.21042823791504,16.335508346557617,-0.004855704493820667,-0.009807181544601917,0.0004472718574106693,0.010952566750347614
rl,1,0,6,6,0.12,5.011417865753174,5.01438045501709,0.9854719638824463,0.13112986087799072,0.1450555920600891,-0.15153124928474426,0.2473820596933365,6.129847526550293,5.494240760803223,0.5432387590408325,1.4810547828674316,1.5141432285308838,14.724398612976074,14.875955581665039,-0.004090313799679279,-0.0054679205641150475,0.0005538530531339347,0.006850954610854387
rl,2,0,6,6,0.12,-5.015844345092773,-4.985905647277832,0.9955016374588013,-0.16675718128681183,0.14795224368572235,-0.04241585731506348,0.22692935168743134,-5.626895904541016,-3.7761642932891846,0.5389913320541382,-1.5369203090667725,1.4434725046157837,15.370973587036133,15.514914512634277,-0.004470673389732838,-0.01043540146201849,0.00032747923978604376,0.01135745458304882
rl,3,0,6,6,0.12,-5.015511512756348,5.01584529876709,0.9857174158096313,-0.15008677542209625,0.16679400205612183,-0.1538519412279129,0.2720600962638855,-5.19050407409668,6.839437961578369,0.6156301498413086,-0.6331050992012024,1.5149519443511963,14.555910110473633,14.648221969604492,-0.004598106257617474,-0.00959760881960392,0.00040574235026724637,0.010649943724274635
lqr,0,0,6,6,0.12,4.915931701660156,-4.549108505249023,1.1576138734817505,-0.4600980877876282,2.467806577682495,0.8626630902290344,2.6544203758239746,4.758898735046387,-3.7068443298339844,1.4623899459838867,1.9050530195236206,-10.276932716369629,12.38399600982666,16.205183029174805,-0.006027208641171455,-0.008448588661849499,0.0036328136920928955,0.010995600372552872
lqr,1,0,6,6,0.12,5.393947124481201,5.17232608795166,0.8371296525001526,2.156158924102783,0.9431934952735901,-0.891432523727417,2.5166022777557373,6.129847526550293,5.494240760803223,0.5432387590408325,-8.905122756958008,-3.912094831466675,19.782875061035156,22.044677734375,-0.003709245938807726,-0.006893374491482973,0.0023593998048454523,0.008175810799002647
lqr,2,0,6,6,0.12,-5.218583106994629,-4.573278903961182,0.8356485962867737,-1.196353793144226,2.33552622795105,-0.8995672464370728,2.7740163803100586,-5.626895904541016,-3.7761642932891846,0.5389913320541382,4.956493377685547,-9.634294509887695,19.854875564575195,22.618633270263672,-0.005697363521903753,-0.008608203381299973,0.003125236602500081,0.010785555467009544
lqr,3,0,6,6,0.12,-5.066421985626221,5.6413702964782715,0.8623704314231873,-0.36356326937675476,3.5103089809417725,-0.7533056139945984,3.6085894107818604,-5.19050407409668,6.839437961578369,0.6156301498413086,1.5520597696304321,-14.502415657043457,19.36239242553711,24.241106033325195,-0.007408576086163521,-0.008110053837299347,0.005306943319737911,0.01219932921230793
rl,0,0,7,7,0.14,4.985986232757568,-4.979128360748291,1.0024393796920776,-0.12740907073020935,0.18986359238624573,0.02322588860988617,0.22982753813266754,4.758898735046387,-3.7068443298339844,1.4623899459838867,-1.0212665796279907,1.3988620042800903,15.861671447753906,15.955952644348145,-0.004977522883564234,-0.010217593982815742,0.0004714280366897583,0.011375289410352707
rl,1,0,7,7,0.14,5.015877723693848,5.019286632537842,0.9806538820266724,0.1574586033821106,0.17285051941871643,-0.16513396799564362,0.2862511873245239,6.129847526550293,5.494240760803223,0.5432387590408325,1.3957504034042358,1.5182856321334839,15.14511489868164,15.28488826751709,-0.004462150856852531,-0.005527707748115063,0.0006367061869241297,0.007132442202419043
rl,2,0,7,7,0.14,-5.021404266357422,-4.9809112548828125,0.9939625263214111,-0.194539874792099,0.17574650049209595,-0.05575564503669739,0.2680322527885437,-5.626895904541016,-3.7761642932891846,0.5389913320541382,-1.5459177494049072,1.519323468208313,15.152177810668945,15.306427001953125,-0.004689997993409634,-0.010630943812429905,0.000368895212886855,0.011625366285443306
rl,3,0,7,7,0.14,-5.020570278167725,5.021405220031738,0.980747640132904,-0.17787259817123413,0.19458802044391632,-0.1715593785047531,0.3145405948162079,-5.19050407409668,6.839437961578369,0.6156301498413086,-1.5419684648513794,1.5192620754241943,14.916816711425781,15.073062896728516,-0.004758226685225964,-0.009601887315511703,0.0004516912158578634,0.01072571612894535
lqr,0,0,7,7,0.14,4.90285062789917,-4.478941440582275,1.182141661643982,-0.4241447448730469,2.274954319000244,0.7952461838722229,2.44698429107666,4.758898735046387,-3.7068443298339844,1.4623899459838867,1.8718031644821167,-10.120881080627441,12.43679141998291,16.143409729003906,0.0019144117832183838,-0.006425457075238228,0.001785655040293932,0.006938301958143711
lqr,1,0,7,7,0.14,5.455252647399902,5.199142932891846,0.8117837905883789,1.987664818763733,0.8694887161254883,-0.821769118309021,2.3199410438537598,6.129847526550293,5.494240760803223,0.5432387590408325,-8.784852981567383,-3.8514459133148193,19.719144821166992,21.92833709716797,-0.001122291898354888,-0.014472468756139278,0.0011619389988481998,0.014562348835170269
lqr,2,0,7,7,0.14,-5.252598285675049,-4.506872177124023,0.8100717663764954,-1.1028616428375244,2.1530091762542725,-0.829259991645813,2.55722975730896,-5.626895904541016,-3.7761642932891846,0.5389913320541382,4.874884605407715,-9.487275123596191,19.79802703857422,22.488548278808594,0.001227527973242104,-0.006085352040827274,0.0015466586919501424,0.006397693883627653
lqr,3,0,7,7,0.14,-5.0767598152160645,5.741176605224609,0.8409520983695984,-0.33515000343322754,3.2359848022460938,-0.6944301724433899,3.3265833854675293,-5.19050407409668,6.839437961578369,0.6156301498413086,1.5222961902618408,-14.282986640930176,19.311199188232422,24.06747817993164,0.0032199181150645018,-0.007970824837684631,0.0026279594749212265,0.008989332243800163
