controller,env_id,episode_id,episode_step,global_step,t,x,y,z,vx,vy,vz,speed,goal_x,goal_y,goal_z,fx_body,fy_body,fz_body,body_force_norm,tx_body,ty_body,tz_body,body_torque_norm
rl,0,0,0,0,0.0,5.0,-5.0,1.0,0.0,0.0,0.0,0.0,6.939208030700684,-4.469076633453369,1.1257424354553223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,1,0,0,0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,6.701645851135254,6.28363561630249,1.467949628829956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,2,0,0,0,0.0,-5.0,-5.0,1.0,0.0,0.0,0.0,0.0,-5.630415916442871,-6.9968366622924805,1.2038264274597168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,3,0,0,0,0.0,-5.0,5.0,1.0,0.0,0.0,0.0,0.0,-4.052921295166016,3.990586757659912,0.9267007112503052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,0,0,0,0,0.0,5.0,-5.0,1.0,0.0,0.0,0.0,0.0,6.939208030700684,-4.469076633453369,1.1257424354553223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,1,0,0,0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,6.701645851135254,6.28363561630249,1.467949628829956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,2,0,0,0,0.0,-5.0,-5.0,1.0,0.0,0.0,0.0,0.0,-5.630415916442871,-6.9968366622924805,1.2038264274597168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lqr,3,0,0,0,0.0,-5.0,5.0,1.0,0.0,0.0,0.0,0.0,-4.052921295166016,3.990586757659912,0.9267007112503052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rl,0,0,1,1,0.02,5.000555038452148,-4.99994421005249,0.9999922513961792,0.02779657393693924,0.0027577723376452923,-0.0003809638728853315,0.027935639023780823,6.939208030700684,-4.469076633453369,1.1257424354553223,1.4998257160186768,0.14872153103351593,15.857914924621582,15.929377555847168,-0.0004189334867987782,-0.00096318923169747,2.1226631361059844e-05,0.0010505662066861987
rl,1,0,1,1,0.02,5.000555038452148,5.000555992126465,0.9999651908874512,0.027796348556876183,0.02780742198228836,-0.001733302022330463,0.03935599327087402,6.701645851135254,6.28363561630249,1.467949628829956,1.4997003078460693,1.500234842300415,15.784913063049316,15.926810264587402,-0.0007485606474801898,-0.0009575091535225511,7.342804019572213e-05,0.0012176035670563579
